name_gis;name_table;prop;prop_2;region;square_ga;category;type_1;type_2
Озеро Соленое;Новозаимский парк;reg;reg_pam_prir;TYM;8,50;Памятник природы;Непроизводственный;Рекреационные
Государственный природный заказник регионального значения «Ямальский»;Озерно-болотный комплекс «Ишим- бай»;reg;reg_pam_prir;TYM;119,24;Памятник природы;Непроизводственный;Рекреационные
Пякольский;Озеро Большой Уват;reg;reg_pam_prir;TYM;19087,03;Памятник природы;Непроизводственный;Рекреационные
Государственный природный заказник регионального значения «Ямальский» (Северо-Ямальский участок);Озеро Монастырское;reg;reg_pam_prir;TYM;1277,63;Памятник природы;Непроизводственный;Рекреационные
Ямальский (Гыданский участок);Озеро Соленое;reg;reg_pam_prir;TYM;109,91;Памятник природы;Непроизводственный;Рекреационные
Мессо-Яхинский (Находкинский);Озеро Табан;reg;reg_pam_prir;TYM;180,34;Памятник природы;Непроизводственный;Рекреационные
Полярно-Уральский;Озерный;reg;reg_pam_prir;TYM;2822,03;Памятник природы;Непроизводственный;Рекреационные
Нижне-Обской;Окрестности дома отдыха «Тобольский»;reg;reg_pam_prir;TYM;202,04;Памятник природы;Непроизводственный;Селитебные
Ево-Яхинский;Окрестности села Вагай;reg;reg_pam_prir;TYM;62,89;Памятник природы;Непроизводственный;Селитебные
Собты-Юганский;Панин бугор;reg;reg_pam_prir;TYM;459,97;Памятник природы;Непроизводственный;Селитебные
Куноватский (Большеобский участок);Падунский;reg;reg_pam_prir;TYM;534,73;Памятник природы;Непроизводственный;Рекреационные
Тыды-Оттинский;Пихтовый мыс;reg;reg_pam_prir;TYM;212,00;Памятник природы;Производственный;ООПТ с лесопромышленным комплексом
Кынско-Часельский;Полуяновский бор;reg;reg_pam_prir;TYM;554,84;Памятник природы;Непроизводственный;Рекреационные
Куноватский;Припышминские боры;reg;reg_pam_prir;TYM;315,70;Памятник природы;Непроизводственный;Рекреационные
Сынско-Войкарский;Рахимовский;reg;reg_pam_prir;TYM;867,27;Памятник природы;Производственный;ООПТ с сельскохозяйственной деятельностью
Надымский;Роща Декабристов;reg;reg_pam_prir;TYM;78,87;Памятник природы;Непроизводственный;Селитебные
Варко-Сальский;Синицинский бор;reg;reg_pam_prir;TYM;1110,73;Памятник природы;Непроизводственный;Рекреационные
Верхнетазовский;Сингульский лес;reg;reg_pam_prir;TYM;735,89;Памятник природы;Непроизводственный;Рекреационные
Мегтыгеганский;Система Черно- ковских озер;reg;reg_pam_prir;TYM;3585,65;Памятник природы;Непроизводственный;Рекреационные
Аганский;Старопого- стовский бугор;reg;reg_pam_prir;TYM;18,00;Памятник природы;Непроизводственный;Рекреационные
Верхне-Кондинский;Тополя;reg;reg_pam_prir;TYM;58,93;Памятник природы;Непроизводственный;Селитебные
Чухлакский;Урочище Бузан;reg;reg_pam_prir;TYM;6,83;Памятник природы;Непроизводственный;Рекреационные
Верхне-Вахский;Урочище Орлы;reg;reg_pam_prir;TYM;42,25;Памятник природы;Непроизводственный;Заповедные
Кондинские озёра;Успенское;reg;reg_pam_prir;TYM;5,92;Памятник природы;Непроизводственный;Селитебные
Турсунский Туман;Успенский - 2;reg;reg_pam_prir;TYM;40,73;Памятник природы;Непроизводственный;Рекреационные
Васпухольский;Хохловский;reg;reg_pam_prir;TYM;0,06;Памятник природы;Непроизводственный;Рекреационные
Салымский;курган;reg;reg_pam_prir;TYM;;;;
Нефтеюганский;Червишевский;reg;reg_pam_prir;TYM;12,87;Памятник природы;Непроизводственный;Рекреационные
"Этническая территория ""Ляпинская""";Шашовский, уча- сток 1;reg;reg_pam_prir;TYM;636,30;Памятник природы;Непроизводственный;Рекреационные
Люлимсарский;Шашовский, участки 2, 3;reg;reg_pam_prir;TYM;4,46;Памятник природы;Непроизводственный;Селитебные
Октябрьский;Южаковский;reg;reg_pam_prir;TYM;3833,58;Памятник природы;Производственный;ООПТ с сельскохозяйственной деятельностью
Унторский;Юртоборовский;reg;reg_pam_prir;TYM;37,18;Памятник природы;Производственная;ООПТ с лесопромышленным комплексом
Тапсуйский;Язевский;reg;reg_pam_prir;TYM;254,93;Памятник природы;Непроизводственный;Заповедные
Вогулка;Областной полигон экологического мониторинга;reg;reg_poligon;TYM;3695,00;Полигон экологического мониторинга;Непроизводственный;Заповедные
Сорумский;;;;;;;;
Нумто;;;;;;;;
Белогорский;;;;;;;;
Ендырьский;;;;;;;;
Елизаровский;;;;;;;;
Сургутский;;;;;;;;
Сургутский;;;;;;;;
Нялинский;;;;;;;;
Лунгэмторский;;;;;;;;
Кулуманский;;;;;;;;
Кулымнигольский;;;;;;;;
Ампутинский;;;;;;;;
Ландинский;;;;;;;;
Рангетур;;;;;;;;
Сибирские Увалы;;;;;;;;
Система озёр Ун-Новинклор;;;;;;;;
Юганский;;;;;;;;
Малая Сосьва;;;;;;;;
Федоровский;;;;;;;;
Хохловский;;;;;;;;
Самаровский Чугас;;;;;;;;
Гыданский;;;;;;;;
Урал;;;;;;;;
Горнохадатинский;;;;;;;;
